SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
7731,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,91-92,"11;13-16;18-19;2-8;21-
25",,3119754,Acre,470
7732,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,153-155,5;9,,3119754,Acre,470
7733,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,144-149,10-Sep,,3119754,Acre,470
7734,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,112-114,1-2;19-22;9-10,,3119754,Acre,470
7735,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,115-117,25;14-17,,3119754,Acre,470
7736,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,130;107-113,6-May,,3119754,Acre,470
7737,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,16-Nov,6;3-4,,3119754,Acre,470
7738,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,45-46,12-17;3-9,,3119754,Acre,470
7739,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,144-150,3;20,,3119754,Acre,470
7740,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,66-75,15-Jul,,3119754,Acre,470
7741,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,94-97,18;21-22,,3119754,Acre,470
7742,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,40-42,14;7-8;10-12,,3119754,Acre,470
7743,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,33-35;37-38,3;7-8,,3119754,Acre,470
7744,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,14-Nov,8;18;13-15,,3119754,Acre,470
7745,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,16-17,1-Nov,,3119754,Acre,470
7746,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,32-42,15;17-18,,3119754,Acre,470
7747,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,49-57,13-14,,3119754,Acre,470
7748,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,158-171,2;4-5,,3119754,Acre,470
7749,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,6-Apr,19-21,,3119754,Acre,470
7750,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,15-Nov,16-17;24-25,,3119754,Acre,470
7751,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,124-126,3;8-10,,3119754,Acre,470
7752,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,95-97,25;15-17,,3119754,Acre,470
7753,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,134-141,19;21-22,,3119754,Acre,470
7754,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,33-38,4;9;1-2,,3119754,Acre,470
7755,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,115-119,4;6-7,,3119754,Acre,470
7756,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,107-110,3;9,,3119754,Acre,470
7757,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,3-5;66-78,16-17,,3119754,Acre,470
7758,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,55-57,8;2-5,,3119754,Acre,470
7759,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,112-113,8;18;23;3-4,,3119754,Acre,470
7760,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,38-42,16;23,,3119754,Acre,470
7761,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,22-26,22-24,,3119754,Acre,470
7762,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,30-42,21;25,,3119754,Acre,470
7763,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,59;61,8-Jan,,3119754,Acre,470
7764,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,6-Mar,18;23-24,,3119754,Acre,470
7765,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,116-117,11-13;18-24,,3119754,Acre,470
7766,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,100-110,21-23,,3119754,Acre,470
7767,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,134-140,20;24-25;16-17,,3119754,Acre,470
7768,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,66-85,18-25,,3119754,Acre,470
7769,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,135-136,8-May,,3119754,Acre,470
7770,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,31-42,22;24;19-20,,3119754,Acre,470
7771,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,15-16,14/1,,3119754,Acre,470
7772,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,116-119,1-3;8-10,,3119754,Acre,470
7773,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,134-142,12;18;23,,3119754,Acre,470
7774,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,91-94,10;12,,3119754,Acre,470
7775,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,66-72;74-75,5-Jan,,3119754,Acre,470
7776,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,99-113,14-17,,3119754,Acre,470
7777,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,145-150,5;8;13;16-19;21-25,,3119754,Acre,470
7778,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,57;60;104-105,1/1;1/2,,3119754,Acre,470
7779,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,22-23,17-19,,3119754,Acre,470
7780,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,13-Dec,1;20-21,,3119754,Acre,470
7781,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,134-137,9;13-15,,3119754,Acre,470
7782,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,13-Nov,12;19;22-23;9-10,,3119754,Acre,470
7783,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,59-61,25-Sep,,3119754,Acre,470
7784,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,80-85,12-17;3-10,,3119754,Acre,470
7785,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,18-20;48-53,5-Mar,,3119754,Acre,470
7786,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,"137;19-20;49-53;125-
126;134-135",2-Jan,,3119754,Acre,470
7787,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,17-18,22;24-25;12-13;17-19,,3119754,Acre,470
7788,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,100-113,24-25,,3119754,Acre,470
7789,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,12-Nov,2;5;11,,3119754,Acre,470
7790,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,32-38,13-Oct,,3119754,Acre,470
7791,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,48-57,12;15-17;6-7;9-10,,3119754,Acre,470
7792,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,45-57,11;18-25,,3119754,Acre,470
7793,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,77-78,12-15;3-10,,3119754,Acre,470
7794,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,131-132,1-3;9-10,,3119754,Acre,470
7795,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,32-36,14;16,,3119754,Acre,470
7796,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,159-171,1;6-25,,3119754,Acre,470
7797,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,134-136,11-Oct,,3119754,Acre,470
7798,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Agricultural,Off Road,145-155,14-15;6-7,,3119754,Acre,470
7799,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Commercial,Link Road,89,1;11;22,,283213,Marla,1445
7800,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Commercial,Main Road,89,19,,283213,Marla,1445
7801,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Commercial,Main Road,90,8;18,,283213,Marla,1445
7802,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Commercial,Main Road,89-90,13,,283213,Marla,1445
7803,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Commercial,Off Road,89,2;9-10,,283213,Marla,1445
7804,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Commercial,Off Road,90,3,,283213,Marla,1445
7805,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,62,1;8;19,,85109,Marla,780
7806,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,62,1;8;13;19,,115926,Marla,780
7807,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,63,21-22;24-25,,85109,Marla,780
7808,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,89,1;4;11-12;14-18;20-25,,115926,Marla,780
7809,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,89,1;4,,85109,Marla,780
7810,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,64-65,16-25,,42554,Marla,780
7811,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,63-65,15-Jan,,42554,Marla,780
7812,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Link Road,86-88,25-Jan,,42554,Marla,780
7813,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Main Road,29,12;25;4-10;14-17,,61631,Marla,780
7814,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Main Road,30,1-Dec,,61631,Marla,780
7815,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Main Road,30,11;13;19-20;22-24;12/1,,39619,Marla,780
7816,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Main Road,58,13-18;2-9;20-21;23-25,,61631,Marla,780
7817,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Main Road,62,14;4-7,,61631,Marla,780
7818,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Main Road,89,13;19,,115926,Marla,780
7819,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Main Road,29-30,11;13;18-20;22-24,,61631,Marla,780
7820,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,1,1-20;23-24,,39619,Marla,780
7821,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,106,"3/1;3/2;3/3;5/1;5/2;6/1;6/
2;6/3;9/1;9/2;9/3;9/4",,39619,Marla,780
7822,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,11,20/1;20/2;20/4;21/1;21/2,,39619,Marla,780
7823,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,113,13,,39619,Marla,780
7824,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,118,11/1;11/21,,39619,Marla,780
7825,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,119,25-Nov,,39619,Marla,780
7826,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,121,1/1;1/2;1/3,,39619,Marla,780
7827,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,123,15;17;25,,39619,Marla,780
7828,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,124,21;1/2;11-13;18-19,,39619,Marla,780
7829,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,126,17-Nov,,39619,Marla,780
7830,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,127,20-21,,39619,Marla,780
7831,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,13,1/2;11/1;11/2;2/2;5/1;5/2,,39619,Marla,780
7832,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,132,"4;7;15;25;16/1;16/2;6/1;6
/2",,39619,Marla,780
7833,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,135,4-Mar,,39619,Marla,780
7834,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,136,3/1;3/2;4/1;4/2;4/3,,39619,Marla,780
7835,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,14,2;20/2,,39619,Marla,780
7836,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,141,20/1;20/2;24/1;24/2,,39619,Marla,780
7837,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,142,17;3-10;13-14,,39619,Marla,780
7838,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,144,2;11/1;11/2,,39619,Marla,780
7839,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,145,1/2;2/2;4/1;4/2,,39619,Marla,780
7840,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,15,14/2;14/3;15/1;15/2,,39619,Marla,780
7841,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,151,16/1;16/2,,39619,Marla,780
7842,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,152,"1/1;1/2;1/3;1/4;2/1;2/2;9/
1;9/2",,39619,Marla,780
7843,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,157,1/2;2/2,,39619,Marla,780
7844,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,16,"1-
2;11/2;12/1;12/2;12/3;13/
1;13/2;8-9",,39619,Marla,780
7845,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,17,"168;20/1;20/2;21/1;21/2;
21/3;23/1;23/2;9/1;9/2;14
-16",,39619,Marla,780
7846,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,18,"11;23;6-9;14/1;14/2;20-
21",,39619,Marla,780
7847,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,2,23/1;23/2;24/1;24/2,,39619,Marla,780
7848,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,20,25;6-17,,39619,Marla,780
7849,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,21,1/1;1/2;1/3;1/4,,39619,Marla,780
7850,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,22,"13/4;14/1;14/2;15-16;20-
21",,39619,Marla,780
7851,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,23,20/2;21/1;21/2,,39619,Marla,780
7852,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,28,11;19-22;10/1;10/2,,39619,Marla,780
7853,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,29,21,,85109,Marla,780
7854,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,3,21/1;21/2;21/3,,39619,Marla,780
7855,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,30,14;17;21;25;12/2,,61631,Marla,780
7856,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,30,15-16,,85109,Marla,780
7857,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,30,"14;17;18/1;18/2;20/1;20/
2;12/2",,39619,Marla,780
7858,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,36,"3/1;3/2;7/1;7/2;7/3;8/1;8/
2",,39619,Marla,780
7859,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,37,"14/1;14/2;16/1;16/2;23/1;
23/2",,39619,Marla,780
7860,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,40,9;13;2-3,,39619,Marla,780
7861,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,41,"1/1;1/2;2/1;2/2;2/3;3/1;3/
2;3/3;9/1;9/2;9/3",,39619,Marla,780
7862,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,42,9;13;1-3,,39619,Marla,780
7863,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,45,2;1/1;1/2;10/1;10/2;10/3,,39619,Marla,780
7864,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,48,13/1;13/2;14/1;14/2,,39619,Marla,780
7865,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,5,13-15,,39619,Marla,780
7866,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,52,8/1;8/2,,39619,Marla,780
7867,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,54,18/2;8/1,,39619,Marla,780
7868,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,58,1;10;12;19;22,,85109,Marla,780
7869,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,6,11/1;11/2,,39619,Marla,780
7870,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,62,2-3;9-12,,85109,Marla,780
7871,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,62,3;10-11,,115926,Marla,780
7872,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,63,16-17;19-20,,85109,Marla,780
7873,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,69,6/1;6/2,,39619,Marla,780
7874,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,7,21/1;21/2,,39619,Marla,780
7875,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,73,"1/1;1/2;2/1;2/2;3/1;3/2;4/
1;4/2;5/1;5/2",,39619,Marla,780
7876,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,79,"10/1;10/2;16/1;16/2;17/1;
17/2;17/3",,39619,Marla,780
7877,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,8,20-21;22/1;22/2;23-25,,39619,Marla,780
7878,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,89,3;5-10,,115926,Marla,780
7879,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,89,10-May,,85109,Marla,780
7880,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,9,1-2;3/1;3/2;4/1;4/2,,39619,Marla,780
7881,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,90,1,,115926,Marla,780
7882,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,90,1;4,,85109,Marla,780
7883,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,"96;122;129;143-149;153-
157;55-56;78-84;98-
103;106-107;109-110",1,,39619,Marla,780
7884,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,46;152-156;16-18,10,,39619,Marla,780
7885,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,94;131;138-142;77-85,11,,39619,Marla,780
7886,Depal Pur,Haveli,"Chak No. 45/SP
Shakur Abad",Residential,Off Road,6-May,12,,39619,Marla,780
